Title,average_rating,ratings_count,Amazon Link,Author,Author Gender,Book Type,Fiction / Non-Fiction,Genre,Publish Year,Rank (copy),Rank Year,Reason,Reason (Consolidated),Title (copy),Page Count,Points,Rank,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,isbn,isbn13,language_code,  num_pages,text_reviews_count,publication_date,publisher
Out of Darkness,4.14,8075,https://www.amazon.com/Out-Darkness-Fiction-Young-Adult/dp/1467742023,Ashley Hope Perez,Woman,Book,Fiction,Young Adult,2015,4,2021,"Banned, challenged, and restricted for depictions of abuse and because it was considered to be sexually explicit",,Out of Darkness,408,7,4,,,,,,,,,,,,,,,,,,,
Persepolis,4.26,216202,https://www.amazon.com/Persepolis-Childhood-Pantheon-Graphic-Library/dp/037571457X,Marjane Satrapi,Woman,Graphic Novel,Non-Fiction,Memoir,2000,2,2014,"gambling, offensive language, political viewpoint. Additional reasons:  political, racism, “politically, racially, and socially offensive,” “graphic depictions”",,Persepolis,160,9,2,,,,,,,,,,,,,,,,,,,
Prince & Knight,4.45,3379,https://www.amazon.com/Prince-Knight-Daniel-Haack/dp/1499805527,Daniel Haack,Man,Picture Book,Fiction,Children's,2018,5,2019,"challenged and restricted for featuring a same-sex marriage and LGBTQIA+ content; for being “a deliberate attempt to indoctrinate young children” transgender, with the potential to cause confusion, curiosity, and gender dysphoria; and for conflicting with a religious viewpoint",,Prince & Knight,40,6,5,,,,,,,,,,,,,,,,,,,
Saga,4.17,342710,https://www.amazon.com/Saga-Vol-1-Brian-Vaughan/dp/1607066017,Brian Vaughan,Man,Graphic Novel,Fiction,Fantasy,2012,6,2014,"anti family values, nudity, offensive language, sexually explicit, and unsuited for age group",,Saga,160,5,6,,,,,,,,,,,,,,,,,,,
Scary Stories (series),4.05,69675,https://www.amazon.com/Scary-Stories-Tell-Alvin-Schwartz/dp/0060835206,Alvin Schwartz,Man,Book,Fiction,Horror,1981,8,2012,"unsuited for age group, violence",,Scary Stories (series),128,3,8,,,,,,,,,,,,,,,,,,,
Sex is a Funny Word,4.47,1710,https://www.amazon.com/Sex-Funny-Word-Bodies-Feelings/dp/1609806069,Cory Silverberg,Man,Graphic Novel,Non-Fiction,Children's,2015,4,2019,"challenged, banned, and relocated for LGBTQIA+ content; for discussing gender identity, transgender, and sex education; and for concerns that the title and illustrations were “inappropriate”",,Sex is a Funny Word,160,7,4,,,,,,,,,,,,,,,,,,,
Sex is a Funny Word,4.47,1710,https://www.amazon.com/Sex-Funny-Word-Bodies-Feelings/dp/1609806069,Cory Silverberg,Man,Graphic Novel,Non-Fiction,Children's,2015,6,2017,This 2015 informational children’s book written by a certified sex educator was challenged because it addresses sex education and is believed to lead children to “want to have sex or ask questions about sex.”,,Sex is a Funny Word,160,5,6,,,,,,,,,,,,,,,,,,,
Skippyjon Jones (series),4.38,24,https://www.amazon.com/Skippyjon-Jones-Judy-Schachner/dp/0142404039,Judy Schachner,Woman,Picture Book,Fiction,Children's,2003,8,2018,"challenged for depicting stereotypes of Mexican culture, racism",,Skippyjon Jones (series),32,3,8,,,,,,,,,,,,,,,,,,,
Something Happened in Our Town: A Child’s Story About Racial Injustice,4.22,1712,https://www.amazon.com/Something-Happened-Our-Town-Injustice/dp/1433828545,"Marianne Celano, Marietta Collins, and Ann Hazzard",Woman,Picture Book,Fiction,Children's,2018,6,2020,"Challenged for “divisive language” and because it was thought to promote anti-police views, political",,Something Happened in Our Town: A Child’s Story About Racial Injustice,40,5,6,,,,,,,,,,,,,,,,,,,
Speak,4.05,606966,https://www.amazon.com/Speak-Laurie-Halse-Anderson/dp/0312674392,Laurie Halse Anderson,Woman,Book,Fiction,Young Adult,1999,4,2020,"Banned, challenged, and restricted because it was thought to contain a political viewpoint and it was claimed to be biased against male students, and for the novel’s inclusion of rape and profanity",,Speak,197,7,4,,,,,,,,,,,,,,,,,,,
"Stamped: Racism, Antiracism, and You",4.47,52518,https://www.amazon.com/Stamped-Antiracism-National-Award-winning-Beginning/dp/0316453692,Ibram X. Kendi and Jason Reynolds,Man,Book,Non-Fiction,History,2020,2,2020,"Banned and challenged because of author’s public statements, and because of claims that the book contains “selective storytelling incidents” and does not encompass racism against all people",,"Stamped: Racism, Antiracism, and You",294,9,2,,,,,,,,,,,,,,,,,,,
